Comment,Designator,Footprint,LCSC
Tab,MX33,MXOnly-1.5U-Hotswap-Antishear,
;,MX59,MXOnly-1U-Hotswap-Antishear,
R_Alt,MX81,MXOnly-1.5U-Hotswap-Antishear,
v,MX68,MXOnly-1U-Hotswap-Antishear,
Insert,MX31,MXOnly-1U-Hotswap-Antishear,
m,MX71,MXOnly-1U-Hotswap-Antishear,
F10,MX11,MXOnly-1U-Hotswap-Antishear,
Page Down,MX76,MXOnly-1U-Hotswap-Antishear,
F5,MX6,MXOnly-1U-Hotswap-Antishear,
Enter,MX61,MXOnly-2.25U-Hotswap-Antishear,
r,MX37,MXOnly-1U-Hotswap-Antishear,
x,MX66,MXOnly-1U-Hotswap-Antishear,
",",MX72,MXOnly-1U-Hotswap-Antishear,
L_Alt,MX79,MXOnly-1.5U-Hotswap-Antishear,
9,MX26,MXOnly-1U-Hotswap-Antishear,
5,MX22,MXOnly-1U-Hotswap-Antishear,
L_Shift,MX64,MXOnly-2.25U-Hotswap-Antishear,
-,MX28,MXOnly-1U-Hotswap-Antishear,
0,MX27,MXOnly-1U-Hotswap-Antishear,
=,MX29,MXOnly-1U-Hotswap-Antishear,
z,MX65,MXOnly-1U-Hotswap-Antishear,
g,MX54,MXOnly-1U-Hotswap-Antishear,
o,MX42,MXOnly-1U-Hotswap-Antishear,
Pause,MX16,MXOnly-1U-Hotswap-Antishear,
F4,MX5,MXOnly-1U-Hotswap-Antishear,
7,MX24,MXOnly-1U-Hotswap-Antishear,
j,MX56,MXOnly-1U-Hotswap-Antishear,
F11,MX12,MXOnly-1U-Hotswap-Antishear,
Backspace,MX30,MXOnly-2U-Hotswap-Antishear,
h,MX55,MXOnly-1U-Hotswap-Antishear,
.,MX73,MXOnly-1U-Hotswap-Antishear,
End,MX48,MXOnly-1U-Hotswap-Antishear,
Print Screen,MX14,MXOnly-1U-Hotswap-Antishear,
q,MX34,MXOnly-1U-Hotswap-Antishear,
3,MX20,MXOnly-1U-Hotswap-Antishear,
p,MX43,MXOnly-1U-Hotswap-Antishear,
c,MX67,MXOnly-1U-Hotswap-Antishear,
n,MX70,MXOnly-1U-Hotswap-Antishear,
F8,MX9,MXOnly-1U-Hotswap-Antishear,
],MX45,MXOnly-1U-Hotswap-Antishear,
Page Up,MX32,MXOnly-1U-Hotswap-Antishear,
y,MX39,MXOnly-1U-Hotswap-Antishear,
F2,MX3,MXOnly-1U-Hotswap-Antishear,
i,MX41,MXOnly-1U-Hotswap-Antishear,
a,MX50,MXOnly-1U-Hotswap-Antishear,
F1,MX2,MXOnly-1U-Hotswap-Antishear,
\,MX46,MXOnly-1.5U-Hotswap-Antishear,
Teensy3.2,U1,Teensy30_31_32_LC,
L_Ctrl,MX77,MXOnly-1.5U-Hotswap-Antishear,
2,MX19,MXOnly-1U-Hotswap-Antishear,
L_Win,MX78,MXOnly-1U-Hotswap-Antishear,
Scroll Lock,MX15,MXOnly-1U-Hotswap-Antishear-LED,
[,MX44,MXOnly-1U-Hotswap-Antishear,
R_Shift,MX75,MXOnly-2.75U-Hotswap-Antishear,
Down,MX85,MXOnly-1U-Hotswap-Antishear,
F6,MX7,MXOnly-1U-Hotswap-Antishear,
',MX60,MXOnly-1U-Hotswap-Antishear,
u,MX40,MXOnly-1U-Hotswap-Antishear,
Left,MX84,MXOnly-1U-Hotswap-Antishear,
4,MX21,MXOnly-1U-Hotswap-Antishear,
Space,MX80,MXOnly-7U-Hotswap-Antishear-ReversedStabilizers,
Caps Lock,MX49,MXOnly-1U-Hotswap-Antishear-LED,
F3,MX4,MXOnly-1U-Hotswap-Antishear,
Esc,MX1,MXOnly-1U-Hotswap-Antishear,
6,MX23,MXOnly-1U-Hotswap-Antishear,
F12,MX13,MXOnly-1U-Hotswap-Antishear,
t,MX38,MXOnly-1U-Hotswap-Antishear,
Home,MX63,MXOnly-1U-Hotswap-Antishear,
R_Ctrl,MX83,MXOnly-1.5U-Hotswap-Antishear,
F7,MX8,MXOnly-1U-Hotswap-Antishear,
Delete,MX47,MXOnly-1U-Hotswap-Antishear,
k,MX57,MXOnly-1U-Hotswap-Antishear,
R_Win,MX82,MXOnly-1U-Hotswap-Antishear,
F9,MX10,MXOnly-1U-Hotswap-Antishear,
Up,MX62,MXOnly-1U-Hotswap-Antishear,
e,MX36,MXOnly-1U-Hotswap-Antishear,
d,MX52,MXOnly-1U-Hotswap-Antishear,
8,MX25,MXOnly-1U-Hotswap-Antishear,
w,MX35,MXOnly-1U-Hotswap-Antishear,
`,MX17,MXOnly-1U-Hotswap-Antishear,
b,MX69,MXOnly-1U-Hotswap-Antishear,
Right,MX86,MXOnly-1U-Hotswap-Antishear,
/,MX74,MXOnly-1U-Hotswap-Antishear,
1,MX18,MXOnly-1U-Hotswap-Antishear,
l,MX58,MXOnly-1U-Hotswap-Antishear,
s,MX51,MXOnly-1U-Hotswap-Antishear,
f,MX53,MXOnly-1U-Hotswap-Antishear,
1N4148,D39,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D36,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D24,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D73,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D41,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D7,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D28,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D57,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D21,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D75,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D72,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D37,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D60,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D27,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D77,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D5,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D46,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D86,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D64,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D44,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D59,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D1,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D30,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D61,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D19,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D25,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D3,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D49,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D81,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D14,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D63,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D78,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D9,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D79,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D12,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D43,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D82,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D48,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D53,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D40,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D31,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D35,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D45,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D68,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D29,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D54,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D65,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D33,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D51,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D70,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D11,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D6,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D69,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D52,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D67,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D32,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D18,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D34,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D47,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D62,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D16,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D85,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D15,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D20,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D83,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D10,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D76,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D50,D_DO-35_SOD27_P7.62mm_Horizontal,
R_Small,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
1N4148,D58,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D13,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D80,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D4,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D8,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D55,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D38,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D56,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D42,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D2,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D74,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D84,D_DO-35_SOD27_P7.62mm_Horizontal,
R_Small,R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
1N4148,D66,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D17,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D22,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D26,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D71,D_DO-35_SOD27_P7.62mm_Horizontal,
1N4148,D23,D_DO-35_SOD27_P7.62mm_Horizontal,
